Time (seconds),V_ch1,V_ch2,V_ch3,I_ch1,I_ch2,I_ch3
0.000000,2.67411208152771,0,0,0,0,0
0.000208,5.25155401229858,0,0,0,0,0
0.000417,9.11771774291992,0,0,0,0,0
0.000625,13.6282415390015,0,0,0,0,0
0.000833,18.138765335083,0,0,0,0,0
0.001042,22.0049285888672,0,0,0,0,0
0.001250,27.8041725158691,0,0,0,0,0
0.001458,30.3816146850586,0,0,0,0,0
0.001667,34.8921394348145,0,0,0,0,0
0.001875,38.75830078125,0,0,0,0,0
0.002083,42.6244659423828,0,0,0,0,0
0.002292,46.4906272888184,0,0,0,0,0
0.002500,52.9342346191406,0,0,0,0,0
0.002708,55.5116767883301,0,0,0,0,0
0.002917,58.7334785461426,0,0,0,0,0
0.003125,60.666561126709,0,0,0,0,0
0.003333,68.3988876342773,0,0,0,0,0
0.003542,71.6206893920898,0,0,0,0,0
0.003750,76.7755737304688,0,0,0,0,0
0.003958,79.3530197143555,0,0,0,0,0
0.004167,85.1522598266602,0,0,0,0,0
0.004375,89.018424987793,0,0,0,0,0
0.004583,90.3071441650391,0,0,0,0,0
0.004792,96.7507476806641,0,0,0,0,0
0.005000,101.261276245117,0,0,0,0,0
0.005208,103.194358825684,0,0,0,0,0
0.005417,107.704879760742,0,0,0,0,0
0.005625,111.571044921875,0,0,0,0,0
0.005833,114.792846679688,0,0,0,0,0
0.006042,119.303367614746,0,0,0,0,0
0.006250,120.592094421387,0,0,0,0,0
0.006458,128.968780517578,0,0,0,0,0
0.006667,132.190582275391,0,0,0,0,0
0.006875,133.479309082031,0,0,0,0,0
0.007083,139.278549194336,0,0,0,0,0
0.007292,147.010879516602,0,0,0,0,0
0.007500,145.722152709961,0,0,0,0,0
0.007708,151.521392822266,0,0,0,0,0
0.007917,154.098846435547,0,0,0,0,0
0.008125,158.609359741211,0,0,0,0,0
0.008333,161.186798095703,0,0,0,0,0
0.008542,166.341690063477,0,0,0,0,0
0.008750,166.341690063477,0,0,0,0,0
0.008958,171.496566772461,0,0,0,0,0
0.009167,176.651458740234,0,0,0,0,0
0.009375,179.873260498047,0,0,0,0,0
0.009583,188.249954223633,0,0,0,0,0
0.009792,187.605590820313,0,0,0,0,0
0.010000,192.760467529297,0,0,0,0,0
0.010208,195.337921142578,0,0,0,0,0
0.010417,199.204071044922,0,0,0,0,0
0.010625,203.714599609375,0,0,0,0,0
0.010833,205.003326416016,0,0,0,0,0
0.011042,211.446929931641,0,0,0,0,0
0.011250,213.380004882813,0,0,0,0,0
0.011458,217.890533447266,0,0,0,0,0
0.011667,221.112335205078,0,0,0,0,0
0.011875,229.489028930664,0,0,0,0,0
0.012083,228.200302124023,0,0,0,0,0
0.012292,233.355178833008,0,0,0,0,0
0.012500,235.288269042969,0,0,0,0,0
0.012708,241.731872558594,0,0,0,0,0
0.012917,242.376235961914,0,0,0,0,0
0.013125,248.175476074219,0,0,0,0,0
0.013333,252.686004638672,0,0,0,0,0
0.013542,256.552154541016,0,0,0,0,0
0.013750,259.129608154297,0,0,0,0,0
0.013958,262.995758056641,0,0,0,0,0
0.014167,265.573211669922,0,0,0,0,0
0.014375,273.305541992188,0,0,0,0,0
0.014583,274.594268798828,0,0,0,0,0
0.014792,276.52734375,0,0,0,0,0
0.015000,280.393493652344,0,0,0,0,0
0.015208,282.970947265625,0,0,0,0,0
0.015417,285.548400878906,0,0,0,0,0
0.015625,288.125823974609,0,0,0,0,0
0.015833,289.41455078125,0,0,0,0,0
0.016042,293.280731201172,0,0,0,0,0
0.016250,296.502532958984,0,0,0,0,0
0.016458,294.569427490234,0,0,0,0,0
0.016667,299.079956054688,0,0,0,0,0
0.016875,298.435607910156,0,0,0,0,0
0.017083,302.946136474609,0,0,0,0,0
0.017292,304.234832763672,0,0,0,0,0
0.017500,306.167938232422,0,0,0,0,0
0.017708,306.812286376953,0,0,0,0,0
0.017917,310.034088134766,0,0,0,0,0
0.018125,310.034088134766,0,0,0,0,0
0.018333,314.544616699219,0,0,0,0,0
0.018542,317.1220703125,0,0,0,0,0
0.018750,314.544616699219,0,0,0,0,0
0.018958,317.1220703125,0,0,0,0,0
0.019167,320.988220214844,0,0,0,0,0
0.019375,320.343872070313,0,0,0,0,0
0.019583,322.276947021484,0,0,0,0,0
0.019792,322.921295166016,0,0,0,0,0
0.020000,323.565673828125,0,0,0,0,0
0.020208,324.854370117188,0,0,0,0,0
0.020417,325.498748779297,0,0,0,0,0
0.020625,327.431823730469,0,0,0,0,0
0.020833,328.720550537109,0,0,0,0,0
0.021042,328.720550537109,0,0,0,0,0
0.021250,326.143096923828,0,0,0,0,0
0.021458,333.231079101563,0,0,0,0,0
0.021667,330.00927734375,0,0,0,0,0
0.021875,330.00927734375,0,0,0,0,0
0.022083,335.164154052734,0,0,0,0,0
0.022292,333.231079101563,0,0,0,0,0
0.022500,337.741607666016,0,0,0,0,0
0.022708,333.875427246094,0,0,0,0,0
0.022917,337.741607666016,0,0,0,0,0
0.023125,334.519805908203,0,0,0,0,0
0.023333,335.164154052734,0,0,0,0,0
0.023542,335.808502197266,0,0,0,0,0
0.023750,339.030303955078,0,0,0,0,0
0.023958,338.385955810547,0,0,0,0,0
0.024167,336.452880859375,0,0,0,0,0
0.024375,337.741607666016,0,0,0,0,0
0.024583,337.741607666016,0,0,0,0,0
0.024792,339.030303955078,0,0,0,0,0
0.025000,340.963409423828,0,0,0,0,0
0.025208,341.607757568359,0,0,0,0,0
0.025417,339.030303955078,0,0,0,0,0
0.025625,341.607757568359,0,0,0,0,0
0.025833,340.319030761719,0,0,0,0,0
0.026042,340.319030761719,0,0,0,0,0
0.026250,343.540832519531,0,0,0,0,0
0.026458,340.319030761719,0,0,0,0,0
0.026667,342.252105712891,0,0,0,0,0
0.026875,342.252105712891,0,0,0,0,0
0.027083,341.607757568359,0,0,0,0,0
0.027292,344.185211181641,0,0,0,0,0
0.027500,344.829559326172,0,0,0,0,0
0.027708,344.185211181641,0,0,0,0,0
0.027917,345.473907470703,0,0,0,0,0
0.028125,344.185211181641,0,0,0,0,0
0.028333,344.185211181641,0,0,0,0,0
