Time (microseconds),scope4
0.00,0.0966698154807091
83.33,-3.12513279914856
166.67,-4.41385412216187
250.00,-3.76949334144592
333.33,-4.41385412216187
416.67,-5.70257520675659
500.00,-8.28001689910889
583.33,-6.34693574905396
666.67,-9.56873798370361
750.00,-12.1461801528931
833.33,-11.5018196105957
916.67,-10.8574590682983
1000.00,-16.0123443603516
1083.33,-16.6567039489746
1166.67,-15.3679828643799
1250.00,-16.6567039489746
1333.33,-17.3010654449463
1416.67,-18.589786529541
1500.00,-18.589786529541
1583.33,-21.1672286987305
1666.67,-23.1003093719482
1750.00,-22.4559497833252
1833.33,-23.1003093719482
1916.67,-25.6777515411377
2000.00,-27.6108341217041
2083.33,-25.6777515411377
2166.67,-27.6108341217041
2250.00,-26.3221130371094
2333.33,-30.1882762908936
2416.67,-31.4769973754883
2500.00,-32.7657165527344
2583.33,-34.0544395446777
2666.67,-32.7657165527344
2750.00,-32.7657165527344
2833.33,-37.2762413024902
2916.67,-38.5649642944336
3000.00,-37.2762413024902
3083.33,-39.8536834716797
3166.67,-38.5649642944336
3250.00,-42.4311256408691
3333.33,-40.4980430603027
3416.67,-42.4311256408691
3500.00,-45.6529273986816
3583.33,-43.0754852294922
3666.67,-45.0085678100586
3750.00,-46.941650390625
3833.33,-48.2303695678711
3916.67,-48.8747329711914
4000.00,-50.1634521484375
4083.33,-52.740894317627
4166.67,-52.0965347290039
4250.00,-52.740894317627
4333.33,-54.0296173095703
4416.67,-54.6739768981934
4500.00,-56.6070594787598
4583.33,-54.6739768981934
4666.67,-59.8288612365723
4750.00,-57.8957786560059
4833.33,-59.1845016479492
4916.67,-61.7619438171387
5000.00,-61.1175804138184
5083.33,-63.0506629943848
5166.67,-62.4063034057617
5250.00,-63.0506629943848
5333.33,-65.6281051635742
5416.67,-67.5611877441406
5500.00,-65.6281051635742
5583.33,-67.5611877441406
5666.67,-68.8499069213867
5750.00,-71.4273529052734
5833.33,-70.1386260986328
5916.67,-73.3604354858398
6000.00,-72.7160720825195
6083.33,-73.3604354858398
6166.67,-74.6491546630859
6250.00,-75.2935104370117
6333.33,-77.2265930175781
6416.67,-77.2265930175781
6500.00,-79.1596755981445
6583.33,-79.1596755981445
6666.67,-81.0927581787109
6750.00,-81.0927581787109
6833.33,-83.0258407592773
6916.67,-83.0258407592773
7000.00,-86.2476425170898
7083.33,-83.6702041625977
7166.67,-86.2476425170898
7250.00,-87.5363616943359
7333.33,-90.1138076782227
7416.67,-90.7581634521484
7500.00,-89.4694442749023
7583.33,-92.0468902587891
7666.67,-93.3356094360352
7750.00,-93.9799728393555
7833.33,-94.6243286132813
7916.67,-95.2686920166016
8000.00,-97.201774597168
8083.33,-96.5574111938477
8166.67,-97.201774597168
8250.00,-99.7792129516602
8333.33,-102.356658935547
8416.67,-99.1348571777344
8500.00,-101.067932128906
8583.33,-102.356658935547
8666.67,-105.578460693359
