Time (microseconds),V_ch1,V_ch2,V_ch3,I_ch1_f,I_ch2_f,I_ch3_f
0.00,0.764762282371521,-128.070999145508,138.013381958008,-0.0074424259364605,-0.132499501109123,-0.1594457924366
208.33,3.31407380104065,-128.070999145508,133.55207824707,0.0110602993518114,-0.112003140151501,-0.136209398508072
416.67,6.50071287155151,-131.25764465332,134.826736450195,-0.015038400888443,-0.085875578224659,-0.129807353019714
625.00,9.68735218048096,-133.169616699219,132.277420043945,-0.0398970246315002,-0.0832629948854446,-0.129633232951164
833.33,14.7859754562378,-136.356262207031,128.453460693359,-0.0379803031682968,-0.0822838693857193,-0.112239919602871
1041.67,17.3352870941162,-137.630920410156,127.816131591797,-0.0596406422555447,-0.067736454308033,-0.104777231812477
1250.00,22.4339084625244,-134.444274902344,125.266822814941,-0.097238227725029,-0.0614685714244843,-0.105058670043945
1458.33,23.0712375640869,-137.630920410156,122.717506408691,-0.104900985956192,-0.080086886882782,-0.100292727351189
1666.67,30.7191715240479,-142.092208862305,120.805526733398,-0.0863556787371635,-0.0929900854825974,-0.0894248262047768
1875.00,33.9058113098145,-142.092208862305,118.256210327148,-0.0816602408885956,-0.0661453306674957,-0.0686080008745193
2083.33,37.0924491882324,-147.190841674805,115.706901550293,-0.0853744596242905,-0.037021204829216,-0.0630066469311714
2291.67,44.1030578613281,-147.828170776367,113.157592773438,-0.08148542791605,-0.0359466001391411,-0.0592646263539791
2500.00,46.6523666381836,-147.190841674805,107.42163848877,-0.0617806613445282,-0.0442874059081078,-0.0335469245910645
2708.33,48.5643501281738,-149.102813720703,106.146987915039,-0.0421005077660084,-0.0354835242033005,-0.0349032990634441
2916.67,52.3883171081543,-150.377471923828,104.235000610352,-0.0268366504460573,-0.020882835611701,-0.0411832742393017
3125.00,56.8496131896973,-150.377471923828,101.048362731934,-0.00979728996753693,-0.0303620398044586,-0.0197040792554617
3333.33,56.8496131896973,-150.377471923828,98.4990539550781,-0.0167455803602934,-0.0419969409704208,0.00302394852042198
3541.67,62.585563659668,-147.828170776367,96.5870666503906,-0.0312235951423645,-0.0405463092029095,0.00823803432285786
3750.00,67.0468597412109,-149.102813720703,90.8511123657227,-0.027033319696784,-0.0183828622102737,0.0159301422536373
3958.33,70.2334976196289,-158.025405883789,89.5764617919922,-0.0363403297960758,-4.83989715576172E-05,0.00724460277706385
4166.67,71.5081558227539,-153.564117431641,87.6644744873047,-0.072037473320961,-0.0197182893753052,-0.0108367651700974
4375.00,77.8814315795898,-154.201446533203,84.4778366088867,-0.0852659866213799,-0.0242593958973885,-0.0167814567685127
4583.33,81.7053985595703,-154.838775634766,81.2911987304688,-0.0850464329123497,0.00313535146415234,-0.00791659019887447
